x,y,z,Tiempo,time stamp
-0.04682947,0.08326307,-0.06024565,0.1017818,27/07/2021 02:32:32 a. m.
-0.04857025,0.08236198,-0.06177787,0.0981073,27/07/2021 02:32:32 a. m.
-0.05086436,0.08118564,-0.06328532,0.1026843,27/07/2021 02:32:32 a. m.
-0.04937598,0.08055133,-0.06432335,0.0985983,27/07/2021 02:32:32 a. m.
-0.04434508,0.08259854,-0.06848903,0.0973722,27/07/2021 02:32:33 a. m.
-0.04064773,0.09071596,-0.07198606,0.1043275,27/07/2021 02:32:33 a. m.
-0.03901137,0.09816175,-0.07266288,0.0970819,27/07/2021 02:32:33 a. m.
-0.03860721,0.1012285,-0.07198521,0.1019265,27/07/2021 02:32:33 a. m.
-0.03953405,0.1020703,-0.06968719,0.0990204,27/07/2021 02:32:33 a. m.
-0.03903693,0.1024875,-0.06830779,0.101794,27/07/2021 02:32:33 a. m.
-0.03799118,0.1030694,-0.06695742,0.0948909,27/07/2021 02:32:33 a. m.
-0.03820949,0.1039804,-0.06376571,0.1023012,27/07/2021 02:32:33 a. m.
-0.03980047,0.1041197,-0.05996074,0.1007781,27/07/2021 02:32:33 a. m.
-0.03980047,0.1044997,-0.05811193,0.0988343,27/07/2021 02:32:33 a. m.
-0.03848239,0.1061637,-0.05560293,0.1033129,27/07/2021 02:32:34 a. m.
-0.03864614,0.1075153,-0.05161143,0.0970694,27/07/2021 02:32:34 a. m.
-0.04061352,0.1078933,-0.04683366,0.0990223,27/07/2021 02:32:34 a. m.
-0.04209957,0.1084047,-0.04302175,0.1029573,27/07/2021 02:32:34 a. m.
-0.04061352,0.1103924,-0.03973652,0.0976188,27/07/2021 02:32:34 a. m.
-0.03913646,0.1126724,-0.0361125,0.10339,27/07/2021 02:32:34 a. m.
-0.03723726,0.1146357,-0.03444,0.0979054,27/07/2021 02:32:34 a. m.
-0.03818703,0.116449,-0.03476669,0.0958547,27/07/2021 02:32:34 a. m.
-0.04250268,0.1209564,-0.03923135,0.1030112,27/07/2021 02:32:34 a. m.
-0.04394037,0.1218186,-0.04147214,0.1000475,27/07/2021 02:32:34 a. m.
-0.04483822,0.1212325,-0.04169077,0.102345,27/07/2021 02:32:35 a. m.
-0.04528853,0.1208613,-0.04200148,0.0989252,27/07/2021 02:32:35 a. m.
-0.04483822,0.121071,-0.04208757,0.099615,27/07/2021 02:32:35 a. m.
-0.04388579,0.1220509,-0.0406433,0.0979553,27/07/2021 02:32:35 a. m.
-0.04317625,0.1216492,-0.03811867,0.1013116,27/07/2021 02:32:35 a. m.
-0.04301189,0.1204004,-0.03464092,0.1021421,27/07/2021 02:32:35 a. m.
-0.04436732,0.1187247,-0.03080843,0.0973395,27/07/2021 02:32:35 a. m.
-0.0456812,0.1168949,-0.02672213,0.1049119,27/07/2021 02:32:35 a. m.
-0.04697368,0.1151588,-0.02194302,0.0939224,27/07/2021 02:32:35 a. m.
-0.04826516,0.1130694,-0.01728614,0.0982833,27/07/2021 02:32:35 a. m.
-0.04862324,0.111222,-0.0131616,0.1044424,27/07/2021 02:32:36 a. m.
-0.0488942,0.1102107,-0.01004201,0.0985475,27/07/2021 02:32:36 a. m.
-0.04863841,0.1108132,-0.00791996,0.1021684,27/07/2021 02:32:36 a. m.
-0.04842525,0.1115455,-0.005862683,0.0991315,27/07/2021 02:32:36 a. m.
-0.04847445,0.1112005,-0.003663495,0.1018466,27/07/2021 02:32:36 a. m.
-0.04767305,0.1101158,-0.001548812,0.0981828,27/07/2021 02:32:36 a. m.
-0.04728368,0.1085241,0.0009829178,0.096966,27/07/2021 02:32:36 a. m.
-0.04767232,0.1071437,0.003409475,0.1009892,27/07/2021 02:32:36 a. m.
-0.04821883,0.1060589,0.005659819,0.1008296,27/07/2021 02:32:36 a. m.
-0.04791269,0.1049064,0.008745193,0.1101279,27/07/2021 02:32:36 a. m.
-0.04556032,0.1038845,0.01180962,0.0910075,27/07/2021 02:32:37 a. m.
